date,passager
2019/7/1,332
2019/7/2,343.2
2019/7/3,356.1
2019/7/4,347.7
2019/7/5,346.7
2019/7/6,258.4
2019/7/7,248.1
2019/7/8,364.7
2019/7/9,356.7
2019/7/10,365.9
2019/7/11,298.7
2019/7/12,366.7
2019/7/13,268.7
2019/7/14,242.5
2019/7/15,357.1
2019/7/16,351.2
2019/7/17,372.4
2019/7/18,348.9
2019/7/19,347.4
2019/7/20,227.5
2019/7/21,246.9
2019/7/22,315.2
2019/7/23,359.7
2019/7/24,320.4
2019/7/25,344.1
2019/7/26,332.5
2019/7/27,243.9
2019/7/28,215.1
2019/7/29,312.2
2019/7/30,359
2019/7/31,357.8
2019/8/1,316.7
2019/8/2,296.1
2019/8/3,232.9
2019/8/4,218.4
2019/8/5,315.6
2019/8/6,322.4
2019/8/7,330.3
2019/8/8,318.8
2019/8/9,317.2
2019/8/10,223
2019/8/11,204.5
2019/8/12,307.1
2019/8/13,305.6
2019/8/14,308.6
2019/8/15,300.8
2019/8/16,293.8
2019/8/17,204.8
2019/8/18,210.9
2019/8/19,316.4
2019/8/20,328.5
2019/8/21,322.4
2019/8/22,319.3
2019/8/23,311.8
2019/8/24,228
2019/8/25,219.5
2019/8/26,315.2
2019/8/27,322.9
2019/8/28,315.8
2019/8/29,329.1
2019/8/30,328.6
2019/8/31,359.3
2019/9/1,225
2019/9/2,331.8
2019/9/3,345.7
2019/9/4,328.9
2019/9/5,351.6
2019/9/6,355
2019/9/7,252.2
2019/9/8,244.8
2019/9/9,345.1
2019/9/10,357.1
2019/9/11,355.1
2019/9/12,357.8
2019/9/13,168.2
2019/9/14,223
2019/9/15,232.3
2019/9/16,350.3
