date,metro_no,pass,changePass,allPass,allChange
2019/4/29,1,659762,336738,2557002,1534201
2019/4/29,2,590541,264258,,
2019/4/29,3,469293,260948,,
2019/4/29,4,399531,232619,,
2019/4/29,7,393574,404695,,
2019/4/29,10,44301,34943,,
2019/5/22,1,647315,326187,2444964,1466978
2019/5/22,2,546828,251854,,
2019/5/22,3,451648,248038,,
2019/5/22,4,384472,222800,,
2019/5/22,7,373739,383936,,
2019/5/22,10,40962,34163,,
2019/5/23,1,644717,322927,2421774,1453064
2019/5/23,2,541877,250325,,
2019/5/23,3,444065,245754,,
2019/5/23,4,379041,220685,,
2019/5/23,7,371457,381190,,
2019/5/23,10,40617,32183,,
2019/5/24,1,681096,345014,2634520,1580712
2019/5/24,2,622373,280378,,
2019/5/24,3,443337,245620,,
2019/5/24,4,420242,247793,,
2019/5/24,7,421659,426775,,
2019/5/24,10,45813,35132,,
2019/5/25,1,420843,248836,2127881,1298007
2019/5/25,2,536088,232531,,
2019/5/25,3,440610,230064,,
2019/5/25,4,355610,210192,,
2019/5/25,7,333712,344435,,
2019/5/25,10,41018,31949,,
2019/5/26,1,350574,221826,1936636,1181347
2019/5/26,2,501931,211988,,
2019/5/26,3,399178,202593,,
2019/5/26,4,321332,192795,,
2019/5/26,7,325801,320555,,
2019/5/26,10,37820,31590,,
2019/5/28,1,641877,321959,2418836,1451301
2019/5/28,2,538350,248451,,
2019/5/28,3,448644,245878,,
2019/5/28,4,380941,219118,,
2019/5/28,7,367474,380621,,
2019/5/28,10,41550,35274,,
2019/5/29,1,641035,318095,2389510,1433706
2019/5/29,20,529095,245329,,
2019/5/29,3,439625,241855,,
2019/5/29,4,377525,216864,,
2019/5/29,7,361257,377420,,
2019/5/29,10,40973,34143,,
2019/5/30,1,641260,319671,2405291,1443174
2019/5/30,2,528160,247166,,
2019/5/30,3,447574,245936,,
2019/5/30,4,380664,218779,,
2019/5/30,7,369601,378897,,
2019/5/30,10,38032,32725,,
2019/5/31,1,664232,336364,2623384,1574030
2019/5/31,2,609463,271553,,
2019/5/31,3,479875,268627,,
2019/5/31,4,411958,240746,,
2019/5/31,7,411378,420297,,
2019/5/31,10,46478,36443,,
2019/6/1,1,446429,259310,2204603,1344807
2019/6/1,2,546227,232737,,
2019/6/1,3,479376,246454,,
2019/6/1,4,352698,213108,,
2019/6/1,7,335312,356025,,
2019/6/1,10,44561,37173,,
2019/6/2,1,374705,223414,1930995,1177906
2019/6/2,2,485196,208396,,
2019/6/2,3,404873,204281,,
2019/6/2,4,308230,187120,,
2019/6/2,7,317224,319982,,
2019/6/2,10,40767,34713,,
2019/6/3,1,662027,326224,2465124,1479074
2019/6/3,2,545859,253249,,
2019/6/3,3,455908,249134,,
2019/6/3,4,385401,221837,,
2019/6/3,7,372023,391954,,
2019/6/3,10,43906,36676,,
2019/6/4,1,655036,323694,2437870,1462722
2019/6/4,2,540947,250987,,
2019/6/4,3,447147,246082,,
2019/6/4,4,382580,220134,,
2019/6/4,7,368287,387590,,
2019/6/4,10,43873,34235,,
2019/6/5,1,656746,328629,2499005,1499403
2019/6/5,2,563144,256243,,
2019/6/5,3,461258,253575,,
2019/6/5,4,388900,225551,,
2019/6/5,7,385040,399672,,
2019/6/5,10,43917,35733,,
2019/6/6,1,720965,361257,2917181,1750308
2019/6/6,2,695855,301746,,
2019/6/6,3,523965,298663,,
2019/6/6,4,457504,261393,,
2019/6/6,7,464813,487527,,
2019/6/6,10,54079,39722,,
2019/6/7,1,359537,212089,1988848,1213197
2019/6/7,2,522914,218048,,
2019/6/7,3,420637,220510,,
2019/6/7,4,324690,196980,,
2019/6/7,7,320166,332119,,
2019/6/7,10,40904,33451,,
2019/6/8,1,347269,219284,1912342,1166528
2019/6/8,2,500337,203280,,
2019/6/8,3,422053,213885,,
2019/6/8,4,305870,193322,,
2019/6/8,7,299319,303727,,
2019/6/8,10,37494,33030,,
2019/6/19,1,669615,338728,2573771,1544262
2019/6/19,2,583870,266970,,
2019/6/19,3,475707,262363,,
2019/6/19,4,404785,236136,,
2019/6/19,7,397459,404433,,
2019/6/19,10,42335,35632,,
2019/6/25,1,660818,326046,2470632,1482379
2019/6/25,2,559284,254809,,
2019/6/25,3,457749,249745,,
2019/6/25,4,386481,228201,,
2019/6/25,7,365913,389116,,
2019/6/25,10,40387,34462,,
2019/6/26,1,671775,337263,2556933,1534159
2019/6/26,2,578441,263042,,
2019/6/26,3,464199,256096,,
2019/6/26,4,399910,235551,,
2019/6/26,7,398894,405501,,
2019/6/26,10,43714,36706,,
2019/6/27,1,677441,340766,2583803,1550281
2019/6/27,2,589391,264472,,
2019/6/27,3,477287,263832,,
2019/6/27,4,401765,236828,,
2019/6/27,7,396075,409363,,
2019/6/27,10,41844,35020,,
2019/6/28,1,716734,360069,2804174,1682504
2019/6/28,2,652625,291246,,
2019/6/28,3,513448,288261,,
2019/6/28,4,428308,255270,,
2019/6/28,7,446118,449857,,
2019/6/28,10,46941,37801,,
2019/6/29,1,466518,266712,2226946,1358437
2019/6/29,2,554771,237264,,
2019/6/29,3,461107,244168,,
2019/6/29,4,344061,211991,,
2019/6/29,7,357185,362372,,
2019/6/29,10,43304,35930,,
2019/6/30,1,394059,241968,2051074,1251155
2019/6/30,2,528536,218064,,
2019/6/30,3,427372,220252,,
2019/6/30,4,319042,198438,,
2019/6/30,7,341117,337393,,
2019/6/30,10,40948,35040,,
2019/7/1,1,679704,343158,2627806,1576683
2019/7/1,2,603954,273179,,
2019/7/1,3,486845,266824,,
2019/7/1,4,406045,238508,,
2019/7/1,7,406933,418134,,
2019/7/1,10,44325,36880,,
2019/7/2,1,678150,341806,2601845,1561107
